RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
643259,201657551,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,02/17/2016 11:57:00 AM,11/07/2015 07:00:00 AM,11/11/2015 07:00:00 AM,20XX BLOCK OF AIRPORT WY S,O,O1,9300.3010,-122.321395874,47.585063934,"(47.585063934, -122.321395874)",11,2015
637588,201643052,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,02/05/2016 09:42:00 AM,12/29/2015 12:00:00 PM,01/21/2016 12:00:00 PM,6XX BLOCK OF MELROSE AV E,E,E1,7401.3001,-122.327880859,47.624702454,"(47.624702454, -122.327880859)",12,2015
625399,201637628,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,02/01/2016 06:45:00 AM,12/16/2015 12:00:00 PM,02/01/2016 07:00:00 AM,115XX BLOCK OF LAKE CITY WY NE,L,L1,700.2008,-122.299232483,47.712516785,"(47.712516785, -122.299232483)",12,2015
626368,201631469,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/27/2016 08:02:00 AM,01/26/2015 05:30:00 PM,01/27/2016 07:30:00 AM,112XX BLOCK OF 8 AV NE,L,L2,1200.3002,-122.320602417,47.710395813,"(47.710395813, -122.320602417)",1,2015
622427,201630700,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/26/2016 04:47:00 PM,01/25/2015 10:30:00 PM,01/26/2016 10:00:00 AM,88XX BLOCK OF DELRIDGE WY SW,F,F2,11402.1003,-122.360481262,47.523994446,"(47.523994446, -122.360481262)",1,2015
622293,201621465,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/19/2016 07:16:00 AM,01/18/2015 10:00:00 PM,01/19/2016 06:00:00 AM,59XX BLOCK OF 39 AV S,R,R3,10300.3011,-122.283378601,47.547874451,"(47.547874451, -122.283378601)",1,2015
622270,201620794,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/18/2016 03:51:00 PM,01/06/2015 10:00:00 AM,01/06/2015 01:00:00 PM,60XX BLOCK OF 24 AV S,S,S1,10402.3019,-122.3022995,47.547576904,"(47.547576904, -122.3022995)",1,2015
622280,201616049,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,01/14/2016 02:36:00 PM,10/22/2015 11:59:00 PM,01/12/2016 09:09:00 AM,117XX BLOCK OF LAKE CITY WY NE,L,L1,700.2004,-122.297813416,47.714912415,"(47.714912415, -122.297813416)",10,2015
614989,201612408,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/11/2016 04:21:00 PM,11/17/2015 12:00:00 AM,12/15/2015 12:00:00 AM,67XX BLOCK OF 21 AV NW,J,J2,3300.5011,-122.383216858,47.678390503,"(47.678390503, -122.383216858)",11,2015
620644,201611897,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/11/2016 08:32:00 AM,12/24/2015 02:30:00 PM,01/11/2016 08:00:00 AM,4 AV NE / NE 75 ST,J,J3,2700.2030,-122.323867798,47.683185577,"(47.683185577, -122.323867798)",12,2015
615216,20165105,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/05/2016 05:02:00 PM,12/24/2015 12:00:00 PM,01/04/2016 05:00:00 PM,SW FINDLAY ST / CALIFORNIA AV SW,W,W2,10600.6000,-122.387039185,47.552108765,"(47.552108765, -122.387039185)",12,2015
615232,20164350,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/05/2016 06:07:00 AM,12/31/2015 08:00:00 AM,12/31/2015 10:00:00 AM,122XX BLOCK OF AURORA AV N,N,N2,600.3007,-122.344894409,47.71717453,"(47.71717453, -122.344894409)",12,2015
615230,20164242,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/04/2016 11:19:00 PM,12/31/2015 06:30:00 PM,01/04/2016 01:00:00 PM,14XX BLOCK OF HUBBELL PL,E,E3,8200.3001,-122.33000946,47.612258911,"(47.612258911, -122.33000946)",12,2015
604336,20162743,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,01/03/2016 02:31:00 PM,12/29/2015 08:00:00 PM,12/31/2015 11:00:00 PM,E HOWELL ST / HARVARD AV,E,E2,7402.2001,-122.322174072,47.61756134,"(47.61756134, -122.322174072)",12,2015
626247,20162629,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/03/2016 01:21:00 PM,12/31/2015 03:00:00 PM,01/03/2016 09:00:00 AM,19XX BLOCK OF 5 AV N,Q,Q2,6700.4023,-122.347129822,47.63609314,"(47.63609314, -122.347129822)",12,2015
620022,20161435,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/02/2016 01:04:00 PM,12/31/2015 05:00:00 PM,01/01/2016 10:00:00 PM,1XX BLOCK OF NW 135 PL,N,N1,401.2017,-122.359596252,47.727336884,"(47.727336884, -122.359596252)",12,2015
604190,20161485,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/02/2016 11:05:00 AM,12/31/2015 08:00:00 PM,01/02/2016 11:05:00 AM,30XX BLOCK OF S NEVADA ST,R,R2,10100.3006,-122.294723511,47.564754486,"(47.564754486, -122.294723511)",12,2015
615199,20161485,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/02/2016 11:05:00 AM,12/31/2015 08:00:00 PM,01/02/2016 11:05:00 AM,30XX BLOCK OF S NEVADA ST,R,R2,10100.3006,-122.294723511,47.564754486,"(47.564754486, -122.294723511)",12,2015
607158,20161448,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/02/2016 10:29:00 AM,12/30/2015 10:30:00 PM,01/01/2016 12:00:00 PM,86XX BLOCK OF 3 AV NW,J,J1,1701.1014,-122.360656738,47.691699982,"(47.691699982, -122.360656738)",12,2015
615200,20161448,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/02/2016 10:29:00 AM,12/30/2015 10:30:00 PM,01/01/2016 12:00:00 PM,86XX BLOCK OF 3 AV NW,J,J1,1701.1014,-122.360656738,47.691699982,"(47.691699982, -122.360656738)",12,2015
616935,2016826,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 09:42:00 PM,12/24/2015 04:00:00 AM,12/25/2015 05:06:00 PM,1XX BLOCK OF BOSTON ST,Q,Q2,6800.1010,-122.353759766,47.638263702,"(47.638263702, -122.353759766)",12,2015
604180,2016994,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 08:50:00 PM,12/31/2015 07:00:00 PM,01/01/2016 08:20:00 PM,N 38 ST / WALLINGFORD AV N,B,B3,5100.3007,-122.336296082,47.653144836,"(47.653144836, -122.336296082)",12,2015
638594,2016775,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 04:48:00 PM,12/31/2015 07:30:00 PM,01/01/2016 12:00:00 PM,24 AV / E MARION ST,C,C3,8800.1010,-122.301460266,47.610019684,"(47.610019684, -122.301460266)",12,2015
606829,2016775,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 04:48:00 PM,12/31/2015 05:00:00 PM,01/01/2016 04:48:00 PM,24 AV / E MARION ST,C,C3,8800.1010,-122.301460266,47.610019684,"(47.610019684, -122.301460266)",12,2015
626149,2016775,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 04:48:00 PM,12/31/2015 07:30:00 PM,01/01/2016 12:00:00 PM,24 AV / E MARION ST,C,C3,8800.1010,-122.301460266,47.610019684,"(47.610019684, -122.301460266)",12,2015
615267,2016766,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 04:43:00 PM,12/29/2015 06:00:00 PM,12/31/2015 09:00:00 PM,18XX BLOCK OF N 55 ST,B,B3,4600.2019,-122.335624695,47.668685913,"(47.668685913, -122.335624695)",12,2015
604279,2016678,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,01/01/2016 04:27:00 PM,12/31/2015 07:00:00 PM,01/01/2016 07:00:00 AM,63XX BLOCK OF 35 AV SW,W,W3,10600.1014,-122.376419067,47.545593262,"(47.545593262, -122.376419067)",12,2015
615194,2016611,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 02:04:00 PM,12/31/2015 02:00:00 PM,01/01/2016 01:30:00 PM,49XX BLOCK OF ERSKINE WY SW,W,W2,10500.5017,-122.38848877,47.558181763,"(47.558181763, -122.38848877)",12,2015
616059,2016598,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 01:48:00 PM,12/31/2015 06:00:00 PM,01/01/2016 11:00:00 AM,143XX BLOCK OF 30 AV NE,L,L1,100.4001,-122.296524048,47.733249664,"(47.733249664, -122.296524048)",12,2015
639421,2016589,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 01:42:00 PM,12/30/2015 11:00:00 AM,01/01/2016 01:15:00 PM,XX BLOCK OF VALLEY ST,Q,Q3,7000.3006,-122.356048584,47.626373291,"(47.626373291, -122.356048584)",12,2015
613419,2016429,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,01/01/2016 12:56:00 PM,12/31/2015 06:00:00 PM,01/01/2016 08:00:00 AM,92XX BLOCK OF DENSMORE AV N,N,N3,1800.1005,-122.337615967,47.696872711,"(47.696872711, -122.337615967)",12,2015
609196,2015451647,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/31/2015 08:12:00 PM,12/31/2015 04:00:00 PM,12/31/2015 06:00:00 PM,2XX BLOCK OF E GARFIELD ST,D,D3,6600.1024,-122.325042725,47.633857727,"(47.633857727, -122.325042725)",12,2015
621999,2015451644,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/31/2015 07:45:00 PM,12/31/2015 07:30:00 AM,12/31/2015 05:00:00 PM,16XX BLOCK OF EASTLAKE AV E,D,D3,6600.1025,-122.325401306,47.634361267,"(47.634361267, -122.325401306)",12,2015
613418,2015451555,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,12/31/2015 05:15:00 PM,12/31/2015 06:00:00 AM,12/31/2015 11:45:00 AM,20XX BLOCK OF 5 AV,M,M2,7200.1066,-122.339820862,47.614112854,"(47.614112854, -122.339820862)",12,2015
606276,2015451311,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/31/2015 04:48:00 PM,12/31/2015 11:00:00 AM,12/31/2015 01:45:00 PM,67XX BLOCK OF 23 AV NW,J,J2,3300.5007,-122.385368347,47.678607941,"(47.678607941, -122.385368347)",12,2015
613410,2015451456,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/31/2015 03:53:00 PM,12/17/2015 08:30:00 AM,12/31/2015 02:30:00 PM,22XX BLOCK OF NW 58 ST,B,B1,4700.4002,-122.386161804,47.670913696,"(47.670913696, -122.386161804)",12,2015
610525,2015451406,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/31/2015 03:12:00 PM,12/30/2015 08:00:00 PM,12/31/2015 02:00:00 PM,CROCKETT ST / NOB HILL AV N,Q,Q2,6700.4011,-122.350738525,47.63740921,"(47.63740921, -122.350738525)",12,2015
603820,2015451259,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/31/2015 12:58:00 PM,12/30/2015 11:30:00 PM,12/31/2015 11:00:00 AM,28XX BLOCK OF E YESLER WY,G,G2,8800.3017,-122.295906067,47.601654053,"(47.601654053, -122.295906067)",12,2015
615178,2015450974,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,12/31/2015 12:55:00 PM,12/30/2015 02:00:00 PM,12/30/2015 06:00:00 PM,14XX BLOCK OF E SPRUCE ST,G,G2,8600.3006,-122.313529968,47.603515625,"(47.603515625, -122.313529968)",12,2015
615192,2015450990,2404,7,VEH-THEFT-TRAILER,2400,VEHICLE THEFT,12/31/2015 08:52:00 AM,12/07/2015 03:00:00 PM,12/08/2015 03:00:00 PM,104XX BLOCK OF E MARGINAL WY S,O,O3,11700.2029,-122.291648865,47.508747101,"(47.508747101, -122.291648865)",12,2015
614995,2015450943,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/31/2015 07:48:00 AM,12/30/2015 09:30:00 PM,12/31/2015 07:30:00 AM,93XX BLOCK OF STONE AV N,N,N3,1800.1003,-122.341896057,47.696708679,"(47.696708679, -122.341896057)",12,2015
614477,2015450719,2404,4,VEH-THEFT-MTRCYCLE,2400,VEHICLE THEFT,12/30/2015 11:48:00 PM,12/28/2015 04:30:00 PM,12/28/2015 05:00:00 PM,7XX BLOCK OF N ALLEN PL,B,B2,4900.5008,-122.349334717,47.660762787,"(47.660762787, -122.349334717)",12,2015
623843,2015450479,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,12/30/2015 07:28:00 PM,12/30/2015 06:47:00 PM,12/30/2015 06:49:00 PM,87XX BLOCK OF 12 AV NW,J,J1,1702.2004,-122.371398926,47.6913414,"(47.6913414, -122.371398926)",12,2015
627061,2015450479,2404,8,VEH-THEFT-TRUCK,2400,VEHICLE THEFT,12/30/2015 07:28:00 PM,12/30/2015 06:47:00 PM,12/30/2015 06:49:00 PM,87XX BLOCK OF 12 AV NW,J,J1,1702.2004,-122.371398926,47.6913414,"(47.6913414, -122.371398926)",12,2015
613426,2015450413,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/30/2015 05:30:00 PM,12/30/2015 03:00:00 PM,12/30/2015 05:30:00 PM,125XX BLOCK OF AURORA AV N,N,N2,402.2004,-122.344947815,47.720481873,"(47.720481873, -122.344947815)",12,2015
613405,2015450288,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/30/2015 03:45:00 PM,12/29/2015 06:20:00 AM,12/29/2015 06:00:00 PM,4XX BLOCK OF NE NORTHGATE WY,L,L2,1200.4010,-122.324615479,47.708602905,"(47.708602905, -122.324615479)",12,2015
614904,2015450280,2404,1,VEH-THEFT-AUTO,2400,VEHICLE THEFT,12/30/2015 03:40:00 PM,12/29/2015 08:00:00 PM,12/30/2015 10:00:00 AM,19XX BLOCK OF 26 AV E,C,C2,6200.1037,-122.299468994,47.635910034,"(47.635910034, -122.299468994)",12,2015
